27.8s 3 [Epoch 80/150: batch 0/179] [DLoss: 0.056, GLoss: 9.101, cGanLoss: 5.430, L1Loss: 0.037]
55.6s 4 [Epoch 80/150: batch 10/179] [DLoss: 0.032, GLoss: 11.885, cGanLoss: 8.079, L1Loss: 0.038]
83.8s 5 [Epoch 80/150: batch 20/179] [DLoss: 0.031, GLoss: 9.071, cGanLoss: 5.454, L1Loss: 0.036]
112.5s 6 [Epoch 80/150: batch 30/179] [DLoss: 0.004, GLoss: 10.834, cGanLoss: 6.769, L1Loss: 0.041]
141.5s 7 [Epoch 80/150: batch 40/179] [DLoss: 0.050, GLoss: 11.961, cGanLoss: 8.002, L1Loss: 0.040]
172.4s 8 [Epoch 80/150: batch 50/179] [DLoss: 0.056, GLoss: 8.949, cGanLoss: 5.211, L1Loss: 0.037]
203.3s 9 [Epoch 80/150: batch 60/179] [DLoss: 0.052, GLoss: 11.270, cGanLoss: 7.418, L1Loss: 0.039]
233.3s 10 [Epoch 80/150: batch 70/179] [DLoss: 0.019, GLoss: 10.485, cGanLoss: 6.702, L1Loss: 0.038]
263.7s 11 [Epoch 80/150: batch 80/179] [DLoss: 0.067, GLoss: 9.295, cGanLoss: 5.705, L1Loss: 0.036]
294.9s 12 [Epoch 80/150: batch 90/179] [DLoss: 0.019, GLoss: 10.365, cGanLoss: 6.304, L1Loss: 0.041]
325.4s 13 [Epoch 80/150: batch 100/179] [DLoss: 0.003, GLoss: 13.321, cGanLoss: 9.285, L1Loss: 0.040]
355.8s 14 [Epoch 80/150: batch 110/179] [DLoss: 3.801, GLoss: 5.749, cGanLoss: 1.756, L1Loss: 0.040]
386.2s 15 [Epoch 80/150: batch 120/179] [DLoss: 0.024, GLoss: 8.801, cGanLoss: 5.057, L1Loss: 0.037]
416.8s 16 [Epoch 80/150: batch 130/179] [DLoss: 1.522, GLoss: 5.664, cGanLoss: 2.046, L1Loss: 0.036]
447.3s 17 [Epoch 80/150: batch 140/179] [DLoss: 0.014, GLoss: 9.592, cGanLoss: 5.945, L1Loss: 0.036]
477.8s 18 [Epoch 80/150: batch 150/179] [DLoss: 0.014, GLoss: 10.097, cGanLoss: 6.499, L1Loss: 0.036]
507.9s 19 [Epoch 80/150: batch 160/179] [DLoss: 0.005, GLoss: 12.717, cGanLoss: 8.614, L1Loss: 0.041]
539.1s 20 [Epoch 80/150: batch 170/179] [DLoss: 0.022, GLoss: 11.470, cGanLoss: 7.908, L1Loss: 0.036]
567.1s 21 [Epoch 81/150: batch 0/179] [DLoss: 0.002, GLoss: 12.142, cGanLoss: 8.365, L1Loss: 0.038]
597.5s 22 [Epoch 81/150: batch 10/179] [DLoss: 0.003, GLoss: 11.916, cGanLoss: 8.201, L1Loss: 0.037]
628.1s 23 [Epoch 81/150: batch 20/179] [DLoss: 0.260, GLoss: 7.065, cGanLoss: 3.242, L1Loss: 0.038]
658.6s 24 [Epoch 81/150: batch 30/179] [DLoss: 0.122, GLoss: 12.727, cGanLoss: 8.755, L1Loss: 0.040]
689.0s 25 [Epoch 81/150: batch 40/179] [DLoss: 0.008, GLoss: 10.281, cGanLoss: 6.573, L1Loss: 0.037]
719.6s 26 [Epoch 81/150: batch 50/179] [DLoss: 0.001, GLoss: 12.679, cGanLoss: 9.050, L1Loss: 0.036]
750.1s 27 [Epoch 81/150: batch 60/179] [DLoss: 0.009, GLoss: 10.607, cGanLoss: 6.754, L1Loss: 0.039]
781.1s 28 [Epoch 81/150: batch 70/179] [DLoss: 0.301, GLoss: 13.039, cGanLoss: 9.224, L1Loss: 0.038]
811.6s 29 [Epoch 81/150: batch 80/179] [DLoss: 0.007, GLoss: 9.963, cGanLoss: 6.165, L1Loss: 0.038]
842.0s 30 [Epoch 81/150: batch 90/179] [DLoss: 0.010, GLoss: 8.995, cGanLoss: 5.324, L1Loss: 0.037]
872.5s 31 [Epoch 81/150: batch 100/179] [DLoss: 0.349, GLoss: 11.616, cGanLoss: 7.879, L1Loss: 0.037]
903.1s 32 [Epoch 81/150: batch 110/179] [DLoss: 0.012, GLoss: 14.305, cGanLoss: 10.326, L1Loss: 0.040]
933.7s 33 [Epoch 81/150: batch 120/179] [DLoss: 0.003, GLoss: 10.711, cGanLoss: 6.950, L1Loss: 0.038]
964.1s 34 [Epoch 81/150: batch 130/179] [DLoss: 0.002, GLoss: 13.112, cGanLoss: 9.412, L1Loss: 0.037]
994.5s 35 [Epoch 81/150: batch 140/179] [DLoss: 0.001, GLoss: 12.691, cGanLoss: 8.764, L1Loss: 0.039]
1025.6s 36 [Epoch 81/150: batch 150/179] [DLoss: 0.005, GLoss: 10.253, cGanLoss: 6.610, L1Loss: 0.036]
1056.0s 37 [Epoch 81/150: batch 160/179] [DLoss: 0.006, GLoss: 10.044, cGanLoss: 5.930, L1Loss: 0.041]
1086.5s 38 [Epoch 81/150: batch 170/179] [DLoss: 0.008, GLoss: 9.543, cGanLoss: 5.983, L1Loss: 0.036]
1114.2s 39 [Epoch 82/150: batch 0/179] [DLoss: 0.006, GLoss: 11.891, cGanLoss: 8.089, L1Loss: 0.038]
1144.7s 40 [Epoch 82/150: batch 10/179] [DLoss: 3.083, GLoss: 9.054, cGanLoss: 5.204, L1Loss: 0.039]
1175.2s 41 [Epoch 82/150: batch 20/179] [DLoss: 0.024, GLoss: 12.312, cGanLoss: 8.445, L1Loss: 0.039]
1205.8s 42 [Epoch 82/150: batch 30/179] [DLoss: 0.042, GLoss: 11.411, cGanLoss: 7.647, L1Loss: 0.038]
1236.2s 43 [Epoch 82/150: batch 40/179] [DLoss: 0.006, GLoss: 9.181, cGanLoss: 5.334, L1Loss: 0.038]
1267.2s 44 [Epoch 82/150: batch 50/179] [DLoss: 0.313, GLoss: 12.619, cGanLoss: 8.951, L1Loss: 0.037]
1297.7s 45 [Epoch 82/150: batch 60/179] [DLoss: 0.092, GLoss: 11.164, cGanLoss: 7.577, L1Loss: 0.036]
1328.2s 46 [Epoch 82/150: batch 70/179] [DLoss: 0.005, GLoss: 11.126, cGanLoss: 7.290, L1Loss: 0.038]
1358.7s 47 [Epoch 82/150: batch 80/179] [DLoss: 0.003, GLoss: 11.612, cGanLoss: 7.562, L1Loss: 0.041]
1389.3s 48 [Epoch 82/150: batch 90/179] [DLoss: 0.084, GLoss: 7.740, cGanLoss: 3.837, L1Loss: 0.039]
1419.8s 49 [Epoch 82/150: batch 100/179] [DLoss: 0.003, GLoss: 11.645, cGanLoss: 7.909, L1Loss: 0.037]
1450.1s 50 [Epoch 82/150: batch 110/179] [DLoss: 0.009, GLoss: 9.877, cGanLoss: 6.178, L1Loss: 0.037]
1480.6s 51 [Epoch 82/150: batch 120/179] [DLoss: 0.003, GLoss: 11.752, cGanLoss: 8.036, L1Loss: 0.037]
1511.6s 52 [Epoch 82/150: batch 130/179] [DLoss: 0.058, GLoss: 9.046, cGanLoss: 5.208, L1Loss: 0.038]
1542.1s 53 [Epoch 82/150: batch 140/179] [DLoss: 0.004, GLoss: 11.763, cGanLoss: 8.019, L1Loss: 0.037]
